cycle,req_valid,req_ready,req_accept,req_kv_head,req_position,req_dim,rsp_valid,rsp_ready,rsp_accept,rsp_data,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_raw,score_scaled,score_last,k_request_count,k_response_count,score_count
0,0,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
10,1,1,1,0,0,0,0,0,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,1,0,0
12,0,0,0,0,0,0,0,1,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,1,0,0
13,0,0,0,0,0,0,0,1,0,0x000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,1,0,0
14,0,0,0,0,0,0,1,1,1,0x0006f6,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,1,0,0
15,1,1,1,0,0,1,0,0,0,0x0006f6,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,1,1,0
16,0,0,0,0,0,1,0,1,0,0x0006f6,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,2,1,0
17,0,0,0,0,0,1,0,1,0,0x0006f6,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,2,1,0
18,0,0,0,0,0,1,1,1,1,0x0007a0,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,2,1,0
19,1,1,1,0,0,2,0,0,0,0x0007a0,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,2,2,0
20,0,0,0,0,0,2,0,1,0,0x0007a0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,3,2,0
21,0,0,0,0,0,2,0,1,0,0x0007a0,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,3,2,0
22,0,0,0,0,0,2,1,1,1,0x000438,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,3,2,0
