cycle,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_scaled,v_req_valid,v_req_ready,v_req_accept,v_req_kv_head,v_req_position,v_req_dim,v_req_prob,v_rsp_valid,v_rsp_ready,v_rsp_accept,v_rsp_data,out_valid,out_ready,out_accept,out_q_head,out_dim,out_data,out_last,dut_v_request_count,dut_output_count
0,0,0,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
1,0,0,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
2,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
3,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
4,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
5,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
6,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
7,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
8,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
9,0,1,0,0,0,0,0x0000000000000000,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
10,1,1,1,0,0,0,0x00000000089aa508,0,0,0,0,0,0,0x000000,0,0,0,0x000000,0,0,0,0,0x000000,0,0,0,0
