cycle,run,start,busy,done,error,saturation,state,norm_state,sum_busy,sum_done,sqrt_busy,sqrt_done,div_busy,div_done,apply_busy,apply_done,sum_index,apply_index
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x000,0x000
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x000,0x000
2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0x000,0x000
3,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0x000,0x000
4,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x000,0x000
5,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x001,0x000
6,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x002,0x000
7,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x003,0x000
8,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x004,0x000
9,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x005,0x000
10,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x006,0x000
11,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x007,0x000
12,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x008,0x000
13,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x009,0x000
14,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x00a,0x000
15,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x00b,0x000
16,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x00c,0x000
17,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x00d,0x000
18,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x00e,0x000
19,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x00f,0x000
20,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x010,0x000
21,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x011,0x000
22,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x012,0x000
23,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x013,0x000
