cycle,start,busy,done,error,saturation,state,in_valid,in_ready,in_accept,in_index,gate_data,up_data,in_last,lut_index,sigmoid_q0_16,silu_gate_q12_12,out_index,out_valid,out_ready,out_accept,hidden_data,out_last,input_count,output_count,accepted_before
0,0,0,0,0,0,0,0,0,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
2,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
3,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
4,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
5,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
6,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
7,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
8,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
9,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
10,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
11,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
12,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
13,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
14,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
15,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
16,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
17,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
18,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
19,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
20,0,1,0,0,0,1,0,1,0,0x000,0,0,0,512,32768,0,0x000,0,0,0,0,0,0,0,0
21,0,1,0,0,0,1,1,1,1,0x000,-9351,5292,0,366,6074,-867,0x000,0,0,0,0,0,0,0,0
