cycle,valid,ready,accepted,addr,data,kind,head,dim,last,write_count_before
10614,1,1,1,0x0000000414100800,0xfffff592,0,0,0,0,0
10615,1,1,1,0x0000000414100804,0x000004db,0,0,1,0,1
10616,1,0,0,0x0000000414100808,0x000027a2,0,0,2,0,2
10617,1,1,1,0x0000000414100808,0x000027a2,0,0,2,0,2
10618,1,1,1,0x000000041410080c,0x0000094d,0,0,3,0,3
10619,1,1,1,0x0000000414100810,0x000005e5,0,0,4,0,4
10620,1,1,1,0x0000000414100814,0x00001757,0,0,5,0,5
10621,1,0,0,0x0000000414100818,0x00000d7e,0,0,6,0,6
10622,1,1,1,0x0000000414100818,0x00000d7e,0,0,6,0,6
10623,1,1,1,0x000000041410081c,0xffffd925,0,0,7,0,7
10624,1,1,1,0x0000000414100820,0x0000004b,0,0,8,0,8
10625,1,1,1,0x0000000414100824,0xfffffeb1,0,0,9,0,9
10626,1,0,0,0x0000000414100828,0x00000d97,0,0,10,0,10
10627,1,1,1,0x0000000414100828,0x00000d97,0,0,10,0,10
10628,1,1,1,0x000000041410082c,0x000007d6,0,0,11,0,11
10629,1,0,0,0x0000000414100830,0x00000b74,0,0,12,0,12
10630,1,1,1,0x0000000414100830,0x00000b74,0,0,12,0,12
10631,1,0,0,0x0000000414100834,0xffffe63e,0,0,13,0,13
10632,1,1,1,0x0000000414100834,0xffffe63e,0,0,13,0,13
10633,1,1,1,0x0000000414100838,0xfffffbba,0,0,14,0,14
10634,1,1,1,0x000000041410083c,0xffffe9fd,0,0,15,0,15
10635,1,1,1,0x0000000414100840,0x000016ab,0,0,16,0,16
10636,1,0,0,0x0000000414100844,0xfffffc6e,0,0,17,0,17
10637,1,1,1,0x0000000414100844,0xfffffc6e,0,0,17,0,17
10638,1,1,1,0x0000000414100848,0xffffe9f1,0,0,18,0,18
10639,1,1,1,0x000000041410084c,0xffffe467,0,0,19,0,19
10640,1,1,1,0x0000000414100850,0x000012e5,0,0,20,0,20
10641,1,0,0,0x0000000414100854,0xfffff394,0,0,21,0,21
10642,1,0,0,0x0000000414100854,0xfffff394,0,0,21,0,21
10643,1,1,1,0x0000000414100854,0xfffff394,0,0,21,0,21
10644,1,1,1,0x0000000414100858,0x00000927,0,0,22,0,22
10645,1,1,1,0x000000041410085c,0xfffff108,0,0,23,0,23
10646,1,0,0,0x0000000414100860,0xffff9f9a,0,0,24,0,24
10647,1,1,1,0x0000000414100860,0xffff9f9a,0,0,24,0,24
10648,1,1,1,0x0000000414100864,0xfffffbbf,0,0,25,0,25
10649,1,1,1,0x0000000414100868,0x0000064a,0,0,26,0,26
10650,1,1,1,0x000000041410086c,0x00003d0d,0,0,27,0,27
10651,1,0,0,0x0000000414100870,0x00000f65,0,0,28,0,28
10652,1,1,1,0x0000000414100870,0x00000f65,0,0,28,0,28
10653,1,1,1,0x0000000414100874,0x00000d23,0,0,29,0,29
10654,1,1,1,0x0000000414100878,0xfffffa70,0,0,30,0,30
10655,1,0,0,0x000000041410087c,0x000009b4,0,0,31,0,31
10656,1,0,0,0x000000041410087c,0x000009b4,0,0,31,0,31
10657,1,1,1,0x000000041410087c,0x000009b4,0,0,31,0,31
10658,1,1,1,0x0000000414100880,0x00001134,0,0,32,0,32
10659,1,1,1,0x0000000414100884,0x000003d9,0,0,33,0,33
10660,1,1,1,0x0000000414100888,0x0000261b,0,0,34,0,34
10661,1,0,0,0x000000041410088c,0x000007fa,0,0,35,0,35
10662,1,1,1,0x000000041410088c,0x000007fa,0,0,35,0,35
10663,1,1,1,0x0000000414100890,0xfffff1ad,0,0,36,0,36
10664,1,1,1,0x0000000414100894,0xfffff2c2,0,0,37,0,37
10665,1,1,1,0x0000000414100898,0xfffff606,0,0,38,0,38
10666,1,0,0,0x000000041410089c,0x00000403,0,0,39,0,39
10667,1,1,1,0x000000041410089c,0x00000403,0,0,39,0,39
10668,1,0,0,0x00000004141008a0,0xfffff427,0,0,40,0,40
10669,1,1,1,0x00000004141008a0,0xfffff427,0,0,40,0,40
10670,1,1,1,0x00000004141008a4,0xfffffba0,0,0,41,0,41
10671,1,0,0,0x00000004141008a8,0xffffe9d0,0,0,42,0,42
10672,1,1,1,0x00000004141008a8,0xffffe9d0,0,0,42,0,42
10673,1,1,1,0x00000004141008ac,0x000000ae,0,0,43,0,43
10674,1,1,1,0x00000004141008b0,0x00000b05,0,0,44,0,44
10675,1,1,1,0x00000004141008b4,0xfffff987,0,0,45,0,45
10676,1,0,0,0x00000004141008b8,0xffffffec,0,0,46,0,46
10677,1,1,1,0x00000004141008b8,0xffffffec,0,0,46,0,46
10678,1,1,1,0x00000004141008bc,0xfffff883,0,0,47,0,47
10679,1,1,1,0x00000004141008c0,0x00000d08,0,0,48,0,48
10680,1,1,1,0x00000004141008c4,0x00001962,0,0,49,0,49
10681,1,0,0,0x00000004141008c8,0xfff58f40,0,0,50,0,50
10682,1,1,1,0x00000004141008c8,0xfff58f40,0,0,50,0,50
10683,1,1,1,0x00000004141008cc,0xffffea2b,0,0,51,0,51
10684,1,1,1,0x00000004141008d0,0x00000252,0,0,52,0,52
10685,1,1,1,0x00000004141008d4,0xfffff983,0,0,53,0,53
10686,1,0,0,0x00000004141008d8,0x00000459,0,0,54,0,54
10687,1,1,1,0x00000004141008d8,0x00000459,0,0,54,0,54
10688,1,1,1,0x00000004141008dc,0xfffff4c0,0,0,55,0,55
10689,1,1,1,0x00000004141008e0,0xfffff0a9,0,0,56,0,56
10690,1,1,1,0x00000004141008e4,0xfffffaa3,0,0,57,0,57
10691,1,0,0,0x00000004141008e8,0x00001616,0,0,58,0,58
10692,1,1,1,0x00000004141008e8,0x00001616,0,0,58,0,58
10693,1,1,1,0x00000004141008ec,0x0000051f,0,0,59,0,59
10694,1,0,0,0x00000004141008f0,0xffff9e3f,0,0,60,0,60
10695,1,1,1,0x00000004141008f0,0xffff9e3f,0,0,60,0,60
10696,1,0,0,0x00000004141008f4,0x0000039e,0,0,61,0,61
10697,1,1,1,0x00000004141008f4,0x0000039e,0,0,61,0,61
10698,1,1,1,0x00000004141008f8,0xffffff69,0,0,62,0,62
10699,1,1,1,0x00000004141008fc,0x000002a7,0,0,63,0,63
10700,1,1,1,0x0000000414100900,0xfffff1ad,0,0,64,0,64
10701,1,0,0,0x0000000414100904,0xfffff9cb,0,0,65,0,65
10702,1,1,1,0x0000000414100904,0xfffff9cb,0,0,65,0,65
10703,1,1,1,0x0000000414100908,0x00002b5b,0,0,66,0,66
10704,1,1,1,0x000000041410090c,0x0000061a,0,0,67,0,67
10705,1,1,1,0x0000000414100910,0x0000044b,0,0,68,0,68
